Station,Lat,Lon,Rate,Area
ET8.1,38.13794,-75.81411,0.0259267071047334,Tributary
ET9.1,38.055,-75.80167,0.01210448945697908,Tributary
LE1.1,38.42535,-76.60176,0.009593159232346956,Tributary
LE1.2,38.37887,-76.51132,0.015067882550383514,Tributary
LE1.3,38.3398,-76.4849,0.02437283703953041,Tributary
LE1.4,38.312,-76.42151,0.015362048682176936,Tributary
LE2.2,38.1576,-76.598,-0.005018604130311358,Tributary
LE3.1,37.75925,-76.61592,0.028181134293068188,Tributary
LE3.2,37.66914,-76.55047,0.03244237816892916,Tributary
LE3.3,37.68842,-76.47442,0.020085007745696687,Tributary
LE3.4,37.63189,-76.44486,0.02952773531002014,Tributary
LE4.1,37.41883,-76.69125,0.0020918782122282304,Tributary
LE4.2,37.29044,-76.57811,-0.007382154286454742,Tributary
LE4.3,37.23392,-76.43094,-0.01589714485899132,Tributary
LE5.1,37.20297,-76.64833,0.014948156150992877,Tributary
LE5.2,37.056,-76.59306,0.016643994585291644,Tributary
LE5.3,36.99044,-76.47544,-0.0024231468050935614,Tributary
LE5.4,36.95486,-76.39275,-0.007088210445406185,Tributary
LE5.6,36.90456,-76.33836,-0.011028909430706196,Tributary
LFA01,36.9082,-76.3146,0.02287731126606661,Tributary
LFB01,36.8894,-76.28144,0.023064557146381132,Tributary
MAT0016,38.56508,-77.19345,0.0018979597176980265,Tributary
MAT0078,38.58852,-77.11865,-0.0007837343650648987,Tributary
MNK0146,38.175,-75.72361,0.12826609320644328,Tributary
PIS0033,38.69842,-76.98673,-1.7434458290227432e-05,Tributary
POK0087,38.03972,-75.66084,0.11062185714913304,Tributary
RET1.1,38.4909,-76.66429,0.02549955357877678,Tributary
RET2.1,38.4035,-77.2691,0.001311434960635645,Tributary
RET2.2,38.3525,-77.2051,0.0209143954717805,Tributary
RET2.4,38.3626,-76.99063,0.035703156338744456,Tributary
RET3.1,37.9173,-76.8222,0.005621425437687536,Tributary
RET3.2,37.81158,-76.71195,0.03072658179835562,Tributary
RET4.1,37.52564,-76.86761,0.011859446008007852,Tributary
RET4.2,37.57125,-76.79715,0.04460660139668778,Tributary
RET4.3,37.50869,-76.78889,0.004173248996185051,Tributary
RET5.1A,37.3123,-76.87672,0.020720397724443337,Tributary
RET5.2,37.20294,-76.78219,-0.014115320651007426,Tributary
SBE2,36.8134,-76.2903,0.04021310850096424,Tributary
SBE5,36.76987,-76.29605,0.028910736666365452,Tributary
TF1.3,38.81092,-76.71227,0.00014696048333244518,Tributary
TF1.4,38.77302,-76.70927,-0.0005671611917008982,Tributary
TF1.5,38.71012,-76.70146,-0.000712469528027403,Tributary
TF1.6,38.65845,-76.68381,0.013281252468951456,Tributary
TF1.7,38.58211,-76.68101,0.06277602927608274,Tributary
TF2.1,38.70664,-77.04876,-3.244929684556039e-06,Tributary
TF2.2,38.69067,-77.11111,-0.000262471819745153,Tributary
TF2.3,38.6082,-77.1739,-0.0009193704558781633,Tributary
TF2.4,38.5301,-77.2654,-0.002256311410877231,Tributary
TF3.1B,38.24628,-77.23344,0.0010972314380029865,Tributary
TF3.1E,38.24469,-77.32508,0.00130570764850505,Tributary
TF3.1F,38.26953,-77.42897,0.0007358852017872943,Tributary
TF3.2,38.17467,-77.18661,-0.003877217380128902,Tributary
TF3.2A,38.11295,-77.05482,-0.012781559202747796,Tributary
TF3.3,38.01847,-76.90928,0.018180912787002866,Tributary
TF4.2,37.57999,-77.02128,0.006413793197390416,Tributary
TF4.4,37.7228,-77.02566,-0.0011568836642747748,Tributary
TF5.2,37.5305,-77.434,0.0022701851956121013,Tributary
TF5.2A,37.45,-77.41883,0.002726309954190464,Tributary
TF5.3,37.4031,-77.39272,0.003610581192268039,Tributary
TF5.4,37.3124,-77.29133,0.001700335028916264,Tributary
TF5.5,37.31265,-77.23283,0.0013854320335379468,Tributary
TF5.5A,37.30165,-77.1284,-0.0004365835711744965,Tributary
TF5.6,37.27272,-76.99057,0.006881908091721808,Tributary
TRQ0088,38.41722,-75.99361,0.16178971009657236,Tributary
TRQ0146,38.46556,-76.00056,0.06339282326268343,Tributary
WBB05,36.82917,-76.39583,0.01809953776048467,Tributary
WBE1,36.8432,-76.35939,0.043284472062893556,Tributary
WIW0141,38.34153,-75.69569,0.02542422658031225,Tributary
WT1.1,39.43511,-76.24205,0.0008811104251912089,Tributary
WT2.1,39.37747,-76.33465,-0.005619012172599404,Tributary
WT3.1,39.30538,-76.40954,0.007030889808992232,Tributary
WT4.1,39.27755,-76.44368,0.0016419922936035563,Tributary
WT5.1,39.21309,-76.52254,0.0009948951230547602,Tributary
WT6.1,39.07851,-76.51005,-0.02182062179130724,Tributary
WT7.1,39.00764,-76.5035,0.001972568276889562,Tributary
WT8.1,38.9496,-76.5461,-0.0028562421816954115,Tributary
WT8.2,38.88696,-76.5349,0.005185851055834455,Tributary
WT8.3,38.8425,-76.5341,-0.00033046713851074756,Tributary
WXT0001,38.78538,-76.71343,-0.0004178687391722539,Tributary
XAK7810,37.96395,-75.65047,0.14609813489367623,Tributary
XCI4078,38.23379,-75.86963,0.09092802483693453,Tributary
XDJ9007,38.48375,-75.82098,0.0762580605704475,Tributary
XFB1986,38.69787,-77.02317,-0.0025082241134847874,Tributary
XGG8251,38.97113,-76.24734,-0.011055157571035656,Tributary
